task,slice_col,slice_value,n,MAE,RMSE,R2,MAPE_safe_pct
15m_speed,city_key,ha_noi,4310,4.0123507983968345,5.529327622538449,0.9090431275035635,15.418368994183867
15m_speed,city_key,tp_hcm,4310,4.87884764050395,6.814554442712045,0.8659253964892315,16.883013822642017
15m_speed,road_class,airport_highway,862,5.795197617726191,7.729113092868573,0.8321130514587136,15.262212098399775
15m_speed,road_class,bridge_corridor,862,4.5825055369527234,5.99428714242026,0.7765331859684791,14.659586808809092
15m_speed,road_class,commercial_street,862,2.9665860933101156,3.9833760218442085,0.7897430118919309,17.116718630104536
15m_speed,road_class,highway_connector,1724,6.218078875873984,8.353331305719674,0.7659032743662347,17.089902250191933
15m_speed,road_class,narrow_old_quarter,431,2.0803791357953396,2.7465888644457386,0.7401807691536066,15.530283245124343
15m_speed,road_class,ring_road,862,5.984452162889394,7.979192967328057,0.7986537352553228,15.061993888549926
15m_speed,road_class,urban_arterial,3017,3.3288295611371033,4.359700040778897,0.8355180089675672,16.417559010091445
15m_speed,corridor_type,airport_access,862,5.795197617726191,7.729113092868573,0.8321130514587136,15.262212098399775
15m_speed,corridor_type,airport_gateway,431,5.370779834728456,7.091203976101321,0.7876258700262482,13.54398375148545
15m_speed,corridor_type,canal_expressway,431,6.480249863849011,8.708399878788784,0.7172782848118957,21.569020572285286
15m_speed,corridor_type,cbd_commercial,431,2.0803791357953396,2.7465888644457386,0.7401807691536066,15.530283245124343
15m_speed,corridor_type,cbd_connector,431,2.9882141298944083,3.8769288258518713,0.836429260584479,15.530043474517468
15m_speed,corridor_type,commercial_zone,431,2.557660804836491,3.372942360327926,0.7728587392926499,16.101156302675474
15m_speed,corridor_type,cross_river_bridge,431,4.320490322720946,5.6073699238142884,0.7794775357275174,14.470993576080179
15m_speed,corridor_type,eastern_gateway,431,6.907601545959957,9.237176308838519,0.7535091979175512,17.01815370388857
15m_speed,corridor_type,gateway_connector,431,6.113684258958513,8.225919229626204,0.7743634157128083,16.228450973108426
15m_speed,corridor_type,port_access,431,3.3755113817837405,4.511965081504096,0.7681006807500742,18.1322809575336
15m_speed,corridor_type,radial_corridor,1724,3.562615101561086,4.655457677353167,0.8227867887325359,16.709729964958065
15m_speed,corridor_type,residential_commute,431,2.931374992290492,3.788250841275545,0.8400918928395797,16.398417318852502
