task,model,fit_seconds,val_MAE,val_RMSE,val_R2,val_MAPE_safe_pct,test_MAE,test_RMSE,test_R2,test_MAPE_safe_pct
15m_speed,ensemble_lightgbm_xgboost_mean,0.0,4.315373236202352,5.879256028308195,0.8991190984832954,14.783362377014361,4.436533783387043,6.1916588460199,0.8884784802978986,16.175818958069033
15m_speed,lightgbm_main,15.357,4.3235331716369565,5.896517653321182,0.8985258517757659,14.760717043513747,4.445599219450393,6.205304835785796,0.8879863671019561,16.150691408412943
15m_speed,xgboost_gpu_challenger,6.722,4.348178288942121,5.913804298019594,0.8979300021775126,14.955479155009629,4.466241034797616,6.228917459195658,0.8871322694879563,16.378762168665865
15m_speed,ridge,0.716,5.150365908025183,7.285592549066203,0.8450848231366306,19.14992954529639,5.415444660277416,7.703801200948557,0.8273546940155763,21.35804658649873
15m_speed,baseline_current_speed,0.0,6.507990762124712,9.152295235794181,0.755530744049927,22.151552550315014,6.620185614849188,9.508635591506541,0.7369846785132408,23.413677954691465
15m_speed,baseline_speed_roll_mean_4,0.0,6.797990762124712,9.917425797048033,0.7129469750435321,25.579733360295492,7.358109048723898,10.714538696190226,0.6660421965236113,28.91587799889836
15m_speed,baseline_speed_lag_1,0.0,7.05905311778291,10.066172973736466,0.7042716323155249,24.36447002241211,7.352389791183294,10.616712517854806,0.672112579044621,26.897913854145987
15m_speed,baseline_train_mean,0.0,15.269020248495616,18.51062050898867,-1.419090471821427e-05,62.669807528727205,15.476141156594574,18.598763283606374,-0.006265943586182043,70.52082708956561
60m_speed,ensemble_lightgbm_xgboost_mean,0.0,4.365936437771122,5.940671131325085,0.8965751574248811,15.340123738441996,4.461687644370561,6.1612907540889505,0.8898592781836795,16.804450264905594
60m_speed,lightgbm_main,15.108,4.382545784559647,5.961416754847365,0.8958515492049046,15.377919468980519,4.49179443598545,6.211078320720366,0.8880720571042647,16.8732525039382
60m_speed,xgboost_gpu_challenger,5.746,4.402106368172801,5.991256114162586,0.8948063276094852,15.51975299586098,4.49508379120693,6.191418269171117,0.8887795112227642,17.000938376495654
60m_speed,ridge,0.676,6.5030070170615275,8.703904443634224,0.7779851238474171,24.82489686348184,7.013864350919393,9.245478117873892,0.7519933872818501,28.16152714957982
60m_speed,baseline_current_speed,0.0,8.362459584295612,12.033330683734691,0.5756486876312505,30.733101906595223,9.106892523364486,13.039130091819848,0.5067106408341346,35.200888779949665
60m_speed,baseline_speed_roll_mean_4,0.0,9.054543879907621,13.001695555841547,0.5046024761490218,36.363146849360604,10.11878796728972,14.146355215151628,0.4193778110548353,42.17456420849734
60m_speed,baseline_speed_lag_1,0.0,9.15444572748268,12.98047756908343,0.5062180748406743,34.381826666784306,9.892581775700934,13.991485603484834,0.43202114149092785,38.77502065856075
60m_speed,baseline_train_mean,0.0,15.246336269268156,18.472389808334636,-3.609926157999155e-08,62.70645138883293,15.498015836058999,18.625051001823714,-0.006466796509767336,70.78508526092197
