horizon,model,feature,mean_abs_shap
60m,lightgbm,rain_flag,0.0002090635070493
60m,lightgbm,neighbor_congestion_count,6.507838081061965e-05
60m,lightgbm,has_flood,2.2490490290093287e-05
60m,lightgbm,betweenness_centrality,0.0
60m,lightgbm,degree_centrality,0.0
60m,lightgbm,is_holiday_vn,0.0
60m,lightgbm,is_synthetic,0.0
60m,lightgbm,month,0.0
60m,lightgbm,data_source,0.0
60m,lightgbm,district,0.0
60m,lightgbm,synthetic_generation_method,0.0
240m,lightgbm,free_flow_speed,3.692835327563941
240m,lightgbm,hour_of_day,1.511123313256676
240m,lightgbm,speed_roll_mean_6,0.5859855880814323
240m,lightgbm,p85_speed,0.5659348399679216
240m,lightgbm,urban_density_score,0.3081550208052592
240m,lightgbm,day_of_week,0.279359990023886
240m,lightgbm,speed_roll_mean_3,0.2093257826069191
240m,lightgbm,temperature,0.1942859838929338
240m,lightgbm,bus_stop_density,0.1875424533817849
240m,lightgbm,is_peak_hour,0.1393215819883717
240m,lightgbm,upstream_avg_jam_factor,0.1060983463269655
240m,lightgbm,baseline_congestion_ratio,0.0794830436483848
240m,lightgbm,downstream_avg_jam_factor,0.0740667845239132
240m,lightgbm,speed_lag_4,0.071885441211494
240m,lightgbm,poi_density,0.0675589384705281
240m,lightgbm,humidity,0.0667383487677461
240m,lightgbm,propagation_risk_score,0.060792600040439
240m,lightgbm,corridor_name,0.0607483053639292
240m,lightgbm,speed_lag_3,0.0552013188750309
240m,lightgbm,rain_1h,0.0537960180405339
240m,lightgbm,p15_speed,0.0512527774236658
240m,lightgbm,current_speed,0.0500427926022061
240m,lightgbm,speed_vs_p50,0.045944716732217
240m,lightgbm,jam_factor,0.0451316156876301
240m,lightgbm,is_weekend,0.0426933485437586
240m,lightgbm,p50_speed,0.0424477543680854
240m,lightgbm,speed_roll_std_6,0.0411351295231677
240m,lightgbm,corridor_id,0.0408694407492454
240m,lightgbm,speed_lag_1,0.0406836162951496
240m,lightgbm,congestion_ratio,0.0404975170895537
240m,lightgbm,hospital_density,0.038926071664837
240m,lightgbm,wind_speed,0.0363491309868474
240m,lightgbm,jam_lag_3,0.0348673200718465
240m,lightgbm,jam_lag_4,0.0341833323150765
240m,lightgbm,visibility,0.033579603815231
240m,lightgbm,jam_roll_mean_3,0.0331316639332855
240m,lightgbm,jam_lag_1,0.0303569912307821
240m,lightgbm,event_distance_km,0.0262126165875462
240m,lightgbm,speed_lag_2,0.0260497546073719
240m,lightgbm,jam_lag_2,0.025844128280195
240m,lightgbm,school_density,0.0218854363583829
240m,lightgbm,city,0.0120193970543906
240m,lightgbm,speed_confidence,0.0103281639609603
240m,lightgbm,pct_above_p85,0.0082526169781554
240m,lightgbm,event_severity_score,0.0072394937476377
240m,lightgbm,weather_main,0.0070273066735324
240m,lightgbm,pct_below_p15,0.0043178092525088
240m,lightgbm,road_class,0.0023410586629148
240m,lightgbm,neighbor_congestion_count,0.0014991076318009
240m,lightgbm,has_accident,0.00056811333753
240m,lightgbm,has_roadwork,0.0005230290846013
240m,lightgbm,has_event,0.000344332371715
240m,lightgbm,rain_flag,7.07436422105451e-05
240m,lightgbm,betweenness_centrality,0.0
240m,lightgbm,degree_centrality,0.0
240m,lightgbm,has_flood,0.0
240m,lightgbm,is_holiday_vn,0.0
240m,lightgbm,is_synthetic,0.0
240m,lightgbm,month,0.0
240m,lightgbm,data_source,0.0
240m,lightgbm,district,0.0
240m,lightgbm,synthetic_generation_method,0.0
