task,selected_model,rank,feature,importance
60m_speed,lightgbm_main,40,num__event_expected_delay_min,395.0
60m_speed,lightgbm_main,41,num__is_school_day,394.0
60m_speed,lightgbm_main,42,cat__weather_main_Clear,387.0
60m_speed,lightgbm_main,43,num__is_payday_window,386.0
60m_speed,lightgbm_main,44,cat__weather_main_Clouds,375.0
60m_speed,lightgbm_main,45,cat__city_key_ha_noi,236.0
60m_speed,lightgbm_main,46,num__near_mall,232.0
60m_speed,lightgbm_main,47,cat__segment_id_HN_002,217.0
60m_speed,lightgbm_main,48,num__lane_count_est,187.0
60m_speed,lightgbm_main,49,num__near_university,168.0
60m_speed,lightgbm_main,50,cat__corridor_type_radial_corridor,154.0
